grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label,leiden_native_program
leiden_native_program,,nutrient_transport,Nutrient transport,827,1.7968570569404567,1.889430302250992,,,8
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,827,3.225777109288505,3.2556313661017784,,,8
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,827,1.5200190808631449,1.5740802689906004,,,8
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,827,1.2498220308018158,1.2761038164746235,,,8
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,827,1.713873278971965,1.7184039963583984,,,8
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,772,4.160157906165991,4.239389157531708,,,9
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,772,1.7616022718370719,1.7391040222602712,,,9
leiden_native_program,,ion_water_balance,Ion / water balance,772,1.1920968295631968,1.1825008149784817,,,9
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,772,0.18097126768098304,0.15433814927760986,,,9
leiden_native_program,,nutrient_transport,Nutrient transport,772,0.26047602909888024,0.2166255663448799,,,9
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,772,4.0578197339402235,4.136762326469926,,,9
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,772,1.2757305397274734,1.2172226327124491,,,9
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,772,0.6928816717141366,0.694290445421583,,,9
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,772,0.4838758468724146,0.45672115634743077,,,9
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,454,4.037013590305354,4.199924276230249,,,10
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,454,1.7898618055122497,1.7664143145084379,,,10
leiden_native_program,,ion_water_balance,Ion / water balance,454,1.1001331552759204,1.1068139837847815,,,10
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,454,0.22093901576454514,0.2027588402852416,,,10
leiden_native_program,,nutrient_transport,Nutrient transport,454,0.33504801515782356,0.34424323629118014,,,10
