grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,5121,2.9116166038118627,2.9467755556106567,dusk,ambiguous
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,5121,3.013817273103303,3.1575331687927246,dusk,ambiguous
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,5121,1.3334636376296165,1.3418599230469437,dusk,ambiguous
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,5121,1.2146453439205585,1.1774328708648683,dusk,ambiguous
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,407,3.6031727432303975,3.689285784959793,dusk,photosynthetic_or_assimilation
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,407,2.039046790366921,1.6797741976394247,dusk,photosynthetic_or_assimilation
timepoint+final_label,,ion_water_balance,Ion / water balance,407,1.3245430535052483,1.255499858962536,dusk,photosynthetic_or_assimilation
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,407,0.8827275688107212,0.8330712174569834,dusk,photosynthetic_or_assimilation
timepoint+final_label,,nutrient_transport,Nutrient transport,407,0.6516353593280524,0.5225558670648586,dusk,photosynthetic_or_assimilation
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,407,3.029572355323684,3.0841306452931767,dusk,photosynthetic_or_assimilation
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,407,2.661255337433022,2.693908299419931,dusk,photosynthetic_or_assimilation
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,407,1.1394480519199892,1.0826715262399609,dusk,photosynthetic_or_assimilation
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,407,0.8659883126367881,0.7339439868927002,dusk,photosynthetic_or_assimilation
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,1,2.938633062289891,2.938633062289891,dusk,review_required
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1,1.1150484841158992,1.1150484841158992,dusk,review_required
timepoint+final_label,,ion_water_balance,Ion / water balance,1,0.8433951973333691,0.8433951973333691,dusk,review_required
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1,0.737970797666698,0.737970797666698,dusk,review_required
timepoint+final_label,,nutrient_transport,Nutrient transport,1,1.0495114461865211,1.0495114461865211,dusk,review_required
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1,2.905712278005682,2.905712278005682,dusk,review_required
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,1,2.1926399871652285,2.1926399871652285,dusk,review_required
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,1,1.220905111626958,1.220905111626958,dusk,review_required
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,1,0.5247557230932606,0.5247557230932606,dusk,review_required
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,2,3.362144783139229,3.362144783139229,dusk,transport_interface_or_water_balance
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2,2.4903622567653656,2.4903622567653656,dusk,transport_interface_or_water_balance
timepoint+final_label,,ion_water_balance,Ion / water balance,2,0.7898987191064016,0.7898987191064016,dusk,transport_interface_or_water_balance
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2,0.8119311481714249,0.8119311481714249,dusk,transport_interface_or_water_balance
timepoint+final_label,,nutrient_transport,Nutrient transport,2,0.5582903146743774,0.5582903146743774,dusk,transport_interface_or_water_balance
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2,2.8626031279563904,2.8626031279563904,dusk,transport_interface_or_water_balance
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,2,3.719160556793213,3.719160556793213,dusk,transport_interface_or_water_balance
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,2,1.2395574152469635,1.2395574152469635,dusk,transport_interface_or_water_balance
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,2,1.1546835899353027,1.1546835899353027,dusk,transport_interface_or_water_balance
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,21,3.5515985254866393,3.610222202752945,dusk,vascular_like_or_transport
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,21,2.5793593131148884,2.2516791820526123,dusk,vascular_like_or_transport
timepoint+final_label,,ion_water_balance,Ion / water balance,21,1.3521183386738183,1.2190640313284737,dusk,vascular_like_or_transport
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,21,0.8973227724461826,0.9259410261768255,dusk,vascular_like_or_transport
timepoint+final_label,,nutrient_transport,Nutrient transport,21,0.49268798739056713,0.5168734886637277,dusk,vascular_like_or_transport
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,21,2.9766692469441205,2.9595431089401245,dusk,vascular_like_or_transport
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,21,2.5345362483275706,2.300458749135335,dusk,vascular_like_or_transport
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,21,1.0305519352050847,1.0049764551670326,dusk,vascular_like_or_transport
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,21,0.8322456090692218,0.6589748804044857,dusk,vascular_like_or_transport
